,web_url,pub_date,document_type,news_desk,section_name,type_of_material,main_headline,print_headline,by
67,https://www.nytimes.com/2020/01/01/nyregion/nyc-biking-deaths.html,2020-01-01T18:19:38+0000,article,Metro,New York,News,More People Are Dying on New York City’s Streets. What Went Wrong?,What Went Wrong With the Vision Zero Traffic Safety Initiative?,Emma G. Fitzsimmons
68,https://www.nytimes.com/2020/01/01/us/politics/trump-iran-north-korea.html,2020-01-01T18:20:24+0000,article,Washington,U.S.,News Analysis,Trump Bet He Could Isolate Iran and Charm North Korea. It’s Not That Easy.,Trump’s Talk Fails to Quell Twin Threats,David E. Sanger
69,https://www.nytimes.com/2020/01/01/arts/music/review-anna-netrebko-met-opera.html,2020-01-01T18:40:41+0000,article,Culture,Arts,Review,Review: Anna Netrebko Rings in the Year With a Met Gala,A Prima Donna Rings In New Year,Anthony Tommasini
70,https://www.nytimes.com/2020/01/01/arts/woody-vasulka-dead.html,2020-01-01T18:49:54+0000,article,Obits,Arts,Obituary (Obit),"Woody Vasulka, Whose Video Art Extended Boundaries, Dies at 82","Woody Vasulka, Who Foresaw Video as Art, Dies at 82",Richard Sandomir
71,https://www.nytimes.com/2020/01/01/world/asia/fazle-hasan-abed-dead.html,2020-01-01T18:54:15+0000,article,Obits,World,Obituary (Obit),"Fazle Abed, Founder of a Leading Relief Agency, Dies at 83","Fazle Abed, 83, Founder of a Relief Agency in Bangladesh",Shalini Venugopal Bhagat
72,https://www.nytimes.com/2020/01/01/world/europe/earthquake-albania-balkans.html,2020-01-01T19:13:09+0000,article,Foreign,World,News,The Lesson of an Albanian Earthquake: The Balkans Aren’t Ready for the Big One,Quake Exposed Unpreparedness of the Balkans,
73,https://www.nytimes.com/2020/01/01/books/2020-books.html,2020-01-01T19:45:25+0000,article,BookReview,Books,News,20 Books We’re Watching For in 2020,,
74,https://www.nytimes.com/2020/01/01/opinion/social-media-2020.html,2020-01-01T20:00:06+0000,article,OpEd,Opinion,Op-Ed,Only You Can Prevent Dystopia,,Farhad Manjoo
75,https://www.nytimes.com/2020/01/01/opinion/fatherhood-sons.html,2020-01-01T20:00:07+0000,article,OpEd,Opinion,Op-Ed,Every Moment With My Son Is an Act of Creation,Bridging the Gaps in Time and Love,Viet Thanh Nguyen
76,https://www.nytimes.com/2020/01/01/nyregion/jewish-attacks-monsey-Daf-Yomi.html,2020-01-01T20:03:53+0000,article,Metro,New York,News,"90,000 Jews Gather to Pray and Defy a Wave of Hate","90,000 Jews Gather to Pray and to Defy a Wave of Hate",Joseph Berger
77,https://www.nytimes.com/2020/01/01/opinion/iraq-embassy-iran.html,2020-01-01T20:16:37+0000,article,Editorial,Opinion,Editorial,Shock Waves From American Airstrikes in Iraq May Have Just Begun,Shock Waves From Airstrikes in Iraq,The Editorial Board
78,https://www.nytimes.com/2020/01/01/nyregion/antisemitic-attacks-monsey.html,2020-01-01T20:38:43+0000,article,Metro,New York,News,"Victim of Anti-Semitic Rampage Is Unlikely to Awake From Coma, Family Says","Stabbing Victim in Anti-Semitic Rampage Is Unlikely to Awaken From Coma, Family Says",Corey Kilgannon
79,https://www.nytimes.com/2020/01/01/briefing/north-korea-iraq-embassy-australia-fires.html,2020-01-01T20:51:12+0000,article,NYTNow,Briefing,briefing,"North Korea, Iraq, Australia fires: Your Thursday Briefing",,Melina Delkic
80,https://www.nytimes.com/2020/01/01/climate/nyt-climate-newsletter-resolutions-fireworks.html,2020-01-01T21:04:17+0000,article,Climate,Climate,News,One Thing You Can Do: Make Your New Year’s Resolutions Count,Here to Help; One Thing You Can Do to Counteract Climate Change,Tatiana Schlossberg and Tryggvi Adalbjornsson
81,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-dead.html,2020-01-01T21:23:22+0000,article,Obits,Sports,Obituary (Obit),"David Stern, Transformative N.B.A. Commissioner, Dies at 77","David Stern, 77, Architect of the Modern N.B.A., Is Dead",Marc Stein
82,https://www.nytimes.com/2020/01/01/opinion/anti-semitism-new-york.html,2020-01-01T21:23:52+0000,article,Editorial,Opinion,Editorial,It’s an Old and Insidious Hatred. And New Yorkers Can’t Stand for It.,New Yorkers Must Stand Against Hate,The Editorial Board
83,https://www.nytimes.com/2020/01/01/nyregion/ny-legislator-drunk-driving.html,2020-01-01T22:33:50+0000,article,Metro,New York,News,"Don’t Drink and Drive, Republican Leader Said. Then He Was Arrested.",Republican Warns of D.W.I. Then He Is Charged With It.,Corey Kilgannon
